x,y,yaw,steeringAngle,velocity,srate
-2,0,0,-0.0819232,-20,-0.819232
-4,0,0.0821069,-0.0819232,-20,0
-5.99326,-0.164029,0.164214,-0.0819232,-20,0
-7.96636,-0.490983,0.246321,-0.0819232,-20,0
-9.90599,-0.978657,0.328428,-0.0819232,-20,0
-11.7991,-1.62377,0.410535,-0.0819232,-20,0
-13.6329,-2.42197,0.492641,-0.0819232,-20,0
-15.3951,-3.36788,0.574748,-0.0898508,-20,-0.0792768
-17.0737,-4.45512,0.664842,-0.0962554,-20,-0.064046
-18.6477,-5.68897,0.761394,-0.112168,-19.9997,-0.15913
-20.0955,-7.06882,0.874034,-0.125992,-19.9998,-0.138236
-21.379,-8.60267,1.0007,-0.136848,-20,-0.108564
-22.4584,-10.2864,1.13841,-0.143964,-19.9999,-0.0711507
-23.2965,-12.1023,1.28337,-0.146785,-20,-0.0282125
-23.8634,-14.0202,1.43122,-0.144941,-20,0.0184339
-24.1417,-16.0008,1.57719,-0.13837,-20,0.0657168
-24.1289,-18.0008,1.71644,-0.126849,-20,0.115208
-23.8386,-19.9796,1.84398,-0.114898,-19.9999,0.11951
-23.299,-21.9054,1.95938,-0.105144,-20,0.0975362
-22.5413,-23.7563,2.06492,-0.0939542,-20,0.111901
-21.5928,-25.5171,2.15915,-0.0812119,-20,0.127423
-20.4828,-27.1808,2.24054,-0.0666713,-20,0.145406
-19.2412,-28.7487,2.30731,-0.0495897,-20,0.170816
-17.8978,-30.2304,2.35694,-0.0279755,-20,0.216142
-16.4825,-31.6435,2.38492,0.0720245,-20,1
-15.0283,-33.0165,2.31277,0.0720245,-20,0
-13.6768,-34.4908,2.24063,0.0720245,-20,0
-12.4351,-36.0586,2.16848,0.0720245,-20,0
-11.3096,-37.7119,2.09633,0.0720245,-20,0
-10.3063,-39.4421,2.02418,0.0784757,-20,0.0645124
-9.43026,-41.24,1.94554,0.0950026,-19.9999,0.165268
-8.69819,-43.1012,1.85025,0.109264,-19.9999,0.14261
-8.14653,-45.0236,1.74055,0.120571,-20,0.113073
-7.80865,-46.9948,1.61939,0.128293,-20,0.0772235
-7.71149,-48.9925,1.49039,0.132009,-20,0.0371626
-7.87213,-50.986,1.35761,0.131505,-19.9999,-0.00504449
-8.29528,-52.9407,1.22534,0.12686,-20,-0.0464499
-8.97253,-54.8226,1.0978,0.104649,-19.9999,-0.222109
-9.88364,-56.603,0.992764,0.0979465,-20,-0.0670256
-10.9764,-58.2781,0.894503,0.090121,-20,-0.0782559
-12.2282,-59.8379,0.804138,0.0808623,-20,-0.0925869
-13.6157,-61.2783,0.723099,0.0701647,-20,-0.106975
-15.1152,-62.6017,0.652819,0.0577969,-20,-0.123678
-16.7039,-63.8166,0.594957,0.0431153,-20,-0.146816
-18.3603,-64.9375,0.551815,0.0256697,-20,-0.174456
-20.0634,-65.986,0.52614,-0.0743266,-20,-0.999964
-21.7929,-66.9904,0.600604,-0.0743266,-20,0
-23.4429,-68.1207,0.675067,-0.0805882,-20,-0.0626156
-25.0042,-69.3706,0.75583,-0.0860835,-19.9999,-0.0549529
-26.4596,-70.7424,0.842127,-0.100581,-20,-0.144972
-27.7914,-72.2345,0.943048,-0.112885,-20,-0.123045
-28.966,-73.8532,1.05641,-0.122322,-19.9999,-0.0943701
-29.95,-75.5944,1.17935,-0.128285,-20,-0.0596268
-30.7131,-77.4431,1.30834,-0.130329,-20,-0.020445
-31.232,-79.3746,1.43942,-0.128226,-20,0.0210373
-31.494,-81.3574,1.56835,-0.121987,-19.9999,0.0623904
