x,y,yaw,steeringAngle,velocity,srate
-2,0,0,0.00352781,-20,0.0352781
-4,0,-0.00352782,0.00703448,-20,0.0350667
-5.99999,0.00705563,-0.0105624,0.00890726,-20,0.0187278
-7.99988,0.0281801,-0.0194699,0.0105928,-20,0.0168556
-9.9995,0.0671175,-0.0300631,0.0119242,-20,0.0133142
-11.9986,0.127235,-0.0419879,0.01324,-20,0.0131572
-13.9968,0.211186,-0.0552287,0.0144478,-20,0.0120779
-15.9938,0.321587,-0.0696774,0.0157174,-20,0.0126969
-17.9889,0.460829,-0.0853962,0.0168888,-20,0.0117136
-19.9816,0.631414,-0.102287,0.018239,-20,0.0135019
-21.9712,0.835631,-0.120528,0.0195516,-20,0.0131257
-23.9567,1.0761,-0.140082,0.0208177,-20,0.0126617
-25.9371,1.35535,-0.160902,0.0220352,-20,0.0121744
-27.9113,1.67577,-0.182941,0.0230919,-20,0.0105675
-29.8779,2.03961,-0.206037,0.0241112,-20,0.0101934
-31.8356,2.44878,-0.230153,0.0243341,-20,0.00222859
-33.7828,2.90503,-0.254492,0.0245343,-20,0.00200208
-35.7184,3.40854,-0.279031,0.0253953,-20,0.00861034
-37.6411,3.95939,-0.304432,0.0281952,-20,0.0279984
-39.5491,4.55889,-0.332635,0.0306428,-20,0.0244766
-41.4395,5.21196,-0.363287,0.0323099,-20,0.0166703
-43.3089,5.92266,-0.395608,0.033593,-20,0.0128311
-45.1545,6.6934,-0.429214,0.0345792,-20,0.00986227
-46.9731,7.52571,-0.463807,0.0365602,-20,0.0198103
-48.7618,8.42042,-0.500383,0.0371372,-20,0.00576962
-50.5166,9.37994,-0.537538,0.0374239,-20,0.00286681
-52.2345,10.404,-0.574979,0.0374978,-20,0.000739053
-53.9129,11.4916,-0.612494,0.0373621,-20,-0.00135724
-55.5493,12.6414,-0.649874,0.0365735,-20,-0.00788587
-57.1417,13.8516,-0.686464,0.0352286,-20,-0.0134491
-58.6886,15.1192,-0.721707,0.0332648,-20,-0.0196375
-60.19,16.4406,-0.754984,0.0309829,-20,-0.0228189
-61.6466,17.8111,-0.785977,0.0299434,-20,-0.0103953
-63.06,19.2261,-0.815929,0.028751,-20,-0.0119245
-64.4304,20.6829,-0.844688,0.0274247,-20,-0.0132623
-65.7583,22.1784,-0.87212,0.0259574,-20,-0.0146736
-67.0447,23.7098,-0.898083,0.024347,-20,-0.016104
-68.2909,25.2741,-0.922435,0.0226086,-20,-0.0173836
-69.4987,26.8682,-0.945047,0.0177025,-20,-0.0490609
-70.6701,28.4893,-0.962751,0.0158899,-20,-0.0181263
