step,x_exact,y_exact,yaw_exact,steeringAngle_exact,x_approx,y_approx,yaw_approx,steeringAngle_approx,error
0,0.75,0,0,0,0.75,0,0,0,0
1,1.5,0,0,0,1.5,0,0,0,0
2,2.25,0,0,0,2.25,0,0,0,0
3,3,0,0,0,3,0,0,0,0
4,3.75,0,0,0,3.75,0,0,0,0
5,4.5,0,0,0,4.5,0,0,0,0
6,5.25,0,0,0,5.25,0,0,0,0
7,6,0,0,0,6,0,0,0,0
8,6.75,0,0,0,6.75,0,0,0,0
9,7.49991,0.0118397,0.0157869,0.0420735,7.5,0.0118332,0.0157776,0.0420735,4.99767e-05
10,8.24906,0.0473889,0.0474167,0.0841471,8.24953,0.0473573,0.04737,0.0841471,0.000250458
11,8.99568,0.118534,0.0950025,0.126221,8.997,0.118471,0.0948897,0.126221,0.000692346
12,9.73625,0.237071,0.158715,0.168294,9.73911,0.23703,0.158507,0.168294,0.00144761
13,10.465,0.414465,0.238788,0.210368,10.4702,0.414621,0.238453,0.210368,0.0027126
14,11.1732,0.661408,0.335517,0.252441,11.1819,0.662149,0.335023,0.252441,0.00475035
15,11.8487,0.987138,0.449268,0.294515,11.8622,0.989174,0.448579,0.294515,0.00776102
16,12.4759,1.39846,0.580482,0.336588,12.4954,1.40295,0.579559,0.336588,0.0120142
17,13.0349,1.89843,0.72968,0.378662,13.0618,1.90715,0.728482,0.378662,0.0177841
18,13.5017,2.48546,0.899004,0.424127,13.5371,2.501,0.897429,0.424127,0.0254408
19,13.849,3.15019,1.0893,0.469592,13.8935,3.17609,1.08728,0.469592,0.0351619
20,14.0485,3.87317,1.30156,0.515057,14.1015,3.91394,1.29901,0.515057,0.0468847
21,14.0739,4.62274,1.53693,0.560521,14.1333,4.68368,1.53378,0.560521,0.060135
22,13.9059,5.35367,1.79679,0.605986,13.9668,5.44036,1.79293,0.605986,0.073805
23,13.5385,6.00752,2.08273,0.651451,13.593,6.12482,2.07802,0.651451,0.0859133
24,12.9871,6.51598,2.39662,0.696916,13.0236,6.6664,2.39092,0.696916,0.0934122
25,12.2966,6.80869,2.74067,0.742381,12.2997,6.98996,2.7338,0.742381,0.0921802
26,11.5469,6.82813,3.11567,0.785398,11.5,7.03006,3.10756,0.785398,0.124383
27,10.8421,6.57161,3.49067,0.785398,10.7409,6.77449,3.48256,0.785398,0.152043
28,10.2803,6.07478,3.86567,0.785398,10.1281,6.25864,3.85756,0.785398,0.167999
29,9.93945,5.40669,4.24067,0.785398,9.74689,5.55418,4.23256,0.785398,0.170033
30,9.86703,4.66019,4.61567,0.785398,9.65015,4.75905,4.60756,0.785398,0.157862
31,10.0731,3.93904,4.99067,0.785398,9.85138,3.98373,4.98256,0.785398,0.133178
32,10.5289,3.34347,5.36567,0.785398,10.3226,3.336,5.35756,0.785398,0.10688
33,11.1712,2.95625,5.74067,0.785398,10.9983,2.90588,5.73256,0.785398,0.111624
34,11.9107,2.8312,6.11567,0.785398,11.7846,2.75315,6.10756,0.785398,0.102064
35,12.6446,2.98569,6.49067,0.785398,12.5722,2.89903,6.48256,0.785398,0.0795271
36,13.282,3.38098,6.83831,0.747558,13.2559,3.30239,6.82918,0.747558,0.052352
37,13.7614,3.95772,7.16045,0.709718,13.7717,3.89775,7.15044,0.709718,0.0351328
38,14.0502,4.64989,7.45869,0.671878,14.0868,4.614,7.44791,0.671878,0.0362166
39,14.1397,5.39453,7.73443,0.634038,14.1935,5.3845,7.72299,0.634038,0.0319242
40,14.0388,6.13772,7.9889,0.596198,14.1027,6.15295,7.97687,0.596198,0.039553
41,13.7682,6.83719,8.22315,0.558357,13.8368,6.8758,8.21061,0.558357,0.0535983
42,13.3546,7.46283,8.43812,0.520517,13.4242,7.52244,8.42514,0.520517,0.0645961
43,12.8268,7.99568,8.63462,0.482677,12.895,8.07388,8.62125,0.482677,0.0731983
44,12.2126,8.42619,8.81339,0.444837,12.278,8.52085,8.79967,0.444837,0.0800219
45,11.5387,8.75526,8.97056,0.396891,11.6011,8.86444,8.95637,0.396891,0.0857841
46,10.8262,8.9896,9.107,0.348945,10.8858,9.112,9.09241,0.348945,0.0909791
47,10.0914,9.13961,9.22341,0.300998,10.1484,9.27442,9.20848,0.300998,0.0959292
48,9.34547,9.21776,9.32038,0.253052,9.40035,9.36455,9.30518,0.253052,0.100829
49,8.59574,9.23755,9.39839,0.205106,8.64874,9.3961,9.38297,0.205106,0.105782
50,7.84615,9.21277,9.45782,0.15716,7.89754,9.38305,9.44223,0.15716,0.110837
51,7.09821,9.1572,9.49894,0.109214,7.14819,9.33922,9.48322,0.109214,0.116003
52,6.35174,9.08444,9.52194,0.0612673,6.40048,9.27825,9.50614,0.0612673,0.121271
53,5.60565,9.00796,9.52694,0.0133211,5.65326,9.21359,9.5111,0.0133211,0.12662
54,4.85955,8.93165,9.52669,-0.000649658,4.90604,9.14911,9.51086,-0.000649658,0.131976
55,4.11303,8.85944,9.52121,-0.0146204,4.15846,9.08873,9.50537,-0.0146204,0.137361
